Localização;Beira Leito?;Nº do Carrinho;Cadeado;Andar;Prédio;Usuário conectado;Hostname;Patrimônio;IP;Serial Number CPU;Nome de SO;Os Release;Fabricante;Modelo;Tipo de chassi;Monitor 1;Modelo 1;Patrimônio 1;Monitor 2;Modelo 2;Patrimônio 2;Monitor 3;Modelo 3;Patrimônio 3;Webcam;Headset;DATA;Última atualização por
Santa Luzia;;;;6;Principal;ACSC\ct513009;HSI2676D230298;230298;10.30.27.233;BMTVSB4;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;OptiPlex 7020;desktop;DELL;P2018Hc;182864;;;;;;;Não;Não;23/08/2025;Guilherme Flores
Santa Luzia;Beira Leito Nº 47;;;6;Principal;ACSC\fl100480;HSI3712N189537;;10.30.53.124;CXM53Y3;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;Latitude 3420;laptop;;;;;;;;;;Não;Não;06/07/2025;Guilherme Flores
Santa Luzia;Beira Leito Nº 48;;;6;Principal;ACSC\CJ038247;HSI3712N189539;;10.30.53.108;HWM53Y3;Microsoft Windows 11 Pro x64;22H2;Dell Inc.;Latitude 3420;laptop;;;;;;;;;;Não;Não;06/07/2025;Guilherme Flores
São José;Beira Leito Nº 49;;;5;Principal;ACSC\DJ032831;HSI3712N189516;;10.30.52.15;6XM53Y3;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;Latitude 3420;laptop;;;;;;;;;;Não;Não;06/07/2025;Guilherme Flores
São José;Beira Leito Nº 50;;;5;Principal;ACSC\AA488925;HSI3712N189549;;10.30.52.102;9XM53Y3;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;Latitude 3420;laptop;;;;;;;;;;Não;Não;06/07/2025;Guilherme Flores
São José;Beira Leito Nº 51;;;5;Principal;ACSC\ge026572;HSI3712N189512;;10.30.52.45;4WM53Y3;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;Latitude 3420;laptop;;;;;;;;;;Não;Não;06/07/2025;Guilherme Flores
Santa Luzia - DML;;;;6;Principal;ACSC\jackson.reis;HSI2631D149921;149921;10.30.27.49;BJV7MD2;Microsoft Windows 10 Pro x64;22H2;Dell Inc.;OptiPlex 3040;desktop;LG;E1941;192130;;;;;;;Não;Não;31/10/2025;Rafael Muller
Santa Luzia (Máquina de Crise);;;;6;Principal;ACSC\RP086395;HSI2676D230293;230293;10.30.27.104;6PTVSB4;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;OptiPlex SFF 7020;desktop;DELL;E2222HS;188891;;;;;;;Não;Não;28/08/2025;Rafael Muller
São José;;;;5;Principal;ACSC\AF932260;HSI2683D230280;230280;10.30.24.232;4MTVSB4;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;;desktop;DELL;P2222H;219441;;;;;;;Não;Não;16/08/2025;Guilherme Flores
São José;;;;5;Principal;ACSC\MA055311;HSI2683D231411;231411;10.30.26.41;4QTVSB4;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;OptiPlex SFF 7020;desktop;Dell;P2222H;219475;;;;;;;Não;Não;16/08/2025;Guilherme Flores
São José;;;;5;Principal;ACSC\m114196;HSI2683D230300;230200;10.30.26.67;6NTVSB4;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;;desktop;DELL;P2222H;219418;;;;;;;Não;Não;16/08/2025;Guilherme Flores
São José;Beira Leito Nº 52;;;5;Principal;ACSC\as076914;HSI3712N189503;;10.30.53.187;9WM53Y3;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;Latitude 3420;laptop;;;;;;;;;;Não;Não;06/07/2025;Guilherme Flores
São José;Beira Leito Nº 53;;;5;Principal;ACSC\AR029185;HSI3712N189518;;10.30.52.126;CWM53Y3;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;Latitude 3420;laptop;;;;;;;;;;Não;Não;06/07/2025;Guilherme Flores
UCO;Beira Leito Nº 54;;;4;Principal;ACSC\PG039377;HSI3712N189550;189550;10.30.52.80;7YM53Y3;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;Latitude 3420;laptop;;;;;;;;;;Não;Não;06/07/2025;Guilherme Flores
UCO;Beira Leito Nº 55;;;4;Principal;ACSC\LP092427;HSI3712N189506;189506;10.30.53.12;GXM53Y3;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;Latitude 3420;laptop;;;;;;;;;;Não;Não;06/07/2025;Guilherme Flores
Emergência Geral;Beira Leito Nº 56;;;0;Emergência;ACSC\LB987429;HSI3712N188794;188794;10.30.55.143;5WNTFP2;Microsoft Windows 11 Pro x64;22H2;Dell Inc.;Latitude 5480;laptop;;;;;;;;;;Não;Não;14/08/2025;Rafael Muller
São José (Máquina de Crise);;;;5;Principal;ACSC\ge026572;HSI2683D230297;230297;10.30.25.168;CPTVSB4;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;;desktop;DELL;P2222H;219212;;;;;;;Não;Não;16/08/2025;Guilherme Flores
Segurança do Trabalho;;;;3;Emergência;ACSC\rafael.teixeira;HSI2622D219336;219336;10.30.25.95;4B66K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7010;desktop;Dell;E2222HS;189624;;;;;;;Sim;Sim;14/08/2025;Rafael Muller
Segurança do Trabalho;;;;3;Emergência;ACSC\MG050278;HSI2622D182759;182759;10.30.25.180;6FVJQB3;Microsoft Windows 10 Pro x64;21H2;Dell Inc.;OptiPlex 3080;desktop;Dell;E2222HS;182746;;;;;;;Sim;Sim;14/08/2025;Rafael Muller
Segurança do Trabalho;;;;3;Emergência;ACSC\User;HSI2622D219412;219412;10.30.27.86;9F66K34;Microsoft Windows 10 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7010;desktop;Dell;P2222H;219177;;;;;;;Não;Sim;29/10/2025;Guilherme Flores
Segurança do Trabalho;;;;3;Emergência;ACSC\nelma.canuto;HSI2622D219387;219387;10.30.24.53;9K66K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7010;desktop;Dell;E2222HS;188754;;;;;;;Sim;Sim;14/08/2025;Rafael Muller
Segurança do Trabalho;;;;3;Emergência;ACSC\EA847867;HSI2622D219342;219342;10.30.25.137;D966K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7010;desktop;Dell;E2222HS;189715;;;;;;;Sim;Sim;14/08/2025;Rafael Muller
Segurança do Trabalho;;;;3;Emergência;ACSC\edevaldo.luchtemberg;HSI2622D219380;219380;10.30.25.138;GH66K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7010;desktop;Dell;E2222HS;189629;;;;;;;Sim;Sim;14/08/2025;Rafael Muller
